,0
408,0.9000000134110451
409,0.10000000149011612
410,0.10000000149011612
411,0.5000000074505806
412,0.09000000171363354
413,0.3900000061839819
414,0.10000000149011612
415,0.10000000149011612
416,0.10000000149011612
417,0.10000000149011612
418,0.09000000171363354
419,0.10000000149011612
420,0.10000000149011612
421,0.7000000104308128
422,0.6000000089406967
423,0.10000000149011612
424,0.20000000298023224
425,0.10000000149011612
426,2.3000000342726707
427,0.10000000149011612
428,2.600000038743019
429,0.10000000149011612
430,0.10000000149011612
431,2.600000038743019
432,2.7000000402331352
433,1.0000000149011612
434,0.10000000149011612
435,2.600000038743019
436,1.5000000223517418
437,0.7000000104308128
438,1.2000000178813934
439,0.5000000074505806
440,0.10000000149011612
441,0.20000000298023224
442,0.20000000298023224
443,0.7000000104308128
444,2.600000038743019
445,2.7000000402331352
446,2.290000034496188
447,0.9000000134110451
448,2.600000038743019
449,0.6000000089406967
450,2.3000000342726707
451,0.10000000149011612
452,0.10000000149011612
453,0.20000000298023224
454,2.600000038743019
455,1.8000000268220901
456,0.0
457,0.10000000149011612
458,0.0
459,0.10000000149011612
460,0.0
461,0.0
462,0.30000000447034836
463,0.0
464,0.10000000149011612
465,0.800000011920929
466,1.8000000268220901
467,0.4000000059604645
468,0.20000000298023224
469,0.20000000298023224
470,2.600000038743019
471,0.20000000298023224
472,2.600000038743019
473,0.20000000298023224
474,2.1000000312924385
475,1.700000025331974
476,1.0000000149011612
477,0.10000000149011612
478,0.09000000171363354
479,0.20000000298023224
480,0.10000000149011612
481,0.20000000298023224
482,0.20000000298023224
483,0.20000000298023224
484,1.4000000208616257
485,0.4000000059604645
486,0.20000000298023224
487,0.20000000298023224
488,0.800000011920929
489,1.3000000193715096
490,0.20000000298023224
491,0.30000000447034836
492,2.600000038743019
493,0.30000000447034836
494,2.0000000298023224
495,0.4000000059604645
496,0.2900000065565109
497,0.10000000149011612
498,2.600000038743019
499,2.500000037252903
500,0.5000000074505806
501,0.20000000298023224
502,0.6000000089406967
503,2.600000038743019
504,1.8000000268220901
505,0.9000000134110451
506,1.1900000181049109
507,0.20000000298023224
508,0.20000000298023224
509,0.10000000149011612
510,1.0900000166147947
511,2.190000033006072
512,0.9000000134110451
513,1.3000000193715096
514,1.4000000208616257
515,1.0000000149011612
516,0.10000000149011612
517,0.6000000089406967
518,1.600000023841858
519,2.5900000389665365
520,0.4000000059604645
521,0.8900000136345625
522,1.600000023841858
523,0.4000000059604645
524,0.800000011920929
525,2.600000038743019
526,0.20000000298023224
527,0.20000000298023224
528,1.1900000181049109
529,0.7900000121444464
530,2.600000038743019
531,0.4000000059604645
532,0.7000000104308128
533,1.6900000255554914
534,0.9000000134110451
535,2.600000038743019
536,2.7000000402331352
537,1.9000000283122063
538,2.600000038743019
539,2.7000000402331352
540,2.600000038743019
541,2.600000038743019
542,1.5000000223517418
543,2.600000038743019
544,2.7000000402331352
545,2.600000038743019
546,0.4000000059604645
547,2.600000038743019
548,2.7000000402331352
549,2.500000037252903
550,2.600000038743019
551,2.600000038743019
552,2.7000000402331352
553,0.20000000298023224
554,1.8000000268220901
555,2.600000038743019
556,2.7000000402331352
557,1.2000000178813934
558,2.600000038743019
559,2.600000038743019
560,0.5000000074505806
561,2.600000038743019
562,1.1000000163912773
563,1.3000000193715096
564,1.5000000223517418
565,0.20000000298023224
566,2.500000037252903
567,0.20000000298023224
568,1.9000000283122063
569,2.600000038743019
570,2.7000000402331352
571,2.600000038743019
572,2.600000038743019
573,0.10000000149011612
574,1.700000025331974
575,1.0900000166147947
576,1.8000000268220901
577,0.6000000089406967
578,2.600000038743019
579,0.10000000149011612
580,2.600000038743019
581,2.7000000402331352
582,2.600000038743019
583,0.20000000298023224
584,1.2000000178813934
585,0.4000000059604645
586,2.600000038743019
587,2.600000038743019
588,0.0
589,2.600000038743019
590,2.600000038743019
591,2.7000000402331352
592,2.2000000327825546
593,2.600000038743019
594,2.600000038743019
595,0.10000000149011612
596,2.600000038743019
597,2.7000000402331352
598,2.600000038743019
599,2.7000000402331352
600,2.600000038743019
601,2.7000000402331352
602,2.600000038743019
603,2.7000000402331352
604,2.600000038743019
605,2.7000000402331352
606,2.600000038743019
607,2.7000000402331352
608,2.600000038743019
609,2.7000000402331352
610,2.600000038743019
611,2.7000000402331352
612,2.600000038743019
613,0.5900000091642141
614,2.600000038743019
615,0.4000000059604645
616,2.600000038743019
617,0.10000000149011612
618,2.600000038743019
619,0.19000000320374966
620,2.600000038743019
621,2.7000000402331352
622,2.600000038743019
623,2.600000038743019
624,2.7000000402331352
625,0.20000000298023224
626,2.600000038743019
627,0.10000000149011612
628,2.600000038743019
629,2.600000038743019
630,2.7000000402331352
631,2.7000000402331352
632,2.600000038743019
633,2.7000000402331352
634,2.600000038743019
635,2.600000038743019
636,1.4000000208616257
637,2.600000038743019
638,0.20000000298023224
639,2.600000038743019
640,2.7000000402331352
641,1.9000000283122063
642,2.600000038743019
643,2.7000000402331352
644,2.600000038743019
